,gname,country_txt
0,Tupamaros (Uruguay),Uruguay
1,Tupamaros (Uruguay),Uruguay
2,Armed Forces of National Liberation- Venezuela (FALN),Venezuela
3,Popular Revolutionary Vanguard (VPR),Brazil
4,Argentine Liberation Front (FAL),Argentina
5,Argentine National Organization Movement (MANO),Argentina
6,Popular Revolutionary Vanguard (VPR),Brazil
7,Argentine Liberation Front (FAL),Argentina
8,Palestinians,Paraguay
9,Tupamaros (Uruguay),Uruguay
10,Montoneros (Argentina),Argentina
11,Tupamaros (Uruguay),Uruguay
12,Montoneros (Argentina),Argentina
13,Armed Forces of National Liberation- Venezuela (FALN),Venezuela
14,Popular Revolutionary Vanguard (VPR),Brazil
15,Tupamaros (Uruguay),Uruguay
16,Unknown,Brazil
17,Unknown,Colombia
18,Ejercito de Liberacion Nacional (Bolivia),Bolivia
19,Unknown,Brazil
20,Tupamaros (Uruguay),Uruguay
21,Tupamaros (Uruguay),Uruguay
22,Tupamaros (Uruguay),Uruguay
23,Tupamaros (Uruguay),Uruguay
24,Revolutionary Armed Forces- Argentina (FAR-A),Argentina
25,Unknown,Argentina
26,Peronist Armed Forces (FAP),Argentina
27,Tupamaros (Uruguay),Uruguay
28,Tupamaros (Uruguay),Uruguay
29,Tupamaros (Uruguay),Uruguay
30,Tupamaros (Uruguay),Uruguay
31,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
32,Tupamaros (Uruguay),Uruguay
33,Unknown,Argentina
34,Tupamaros (Uruguay),Uruguay
35,Tupamaros (Uruguay),Uruguay
36,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
37,Tupamaros (Uruguay),Uruguay
38,Tupamaros (Uruguay),Uruguay
39,Tupamaros (Uruguay),Uruguay
40,Tupamaros (Uruguay),Uruguay
41,Tupamaros (Uruguay),Uruguay
42,Tupamaros (Uruguay),Uruguay
43,Tupamaros (Uruguay),Uruguay
44,Unknown,Argentina
45,Unknown,Argentina
46,Unknown,Argentina
47,Montoneros (Argentina),Argentina
48,Montoneros (Argentina),Argentina
49,Argentine Liberation Front (FAL),Argentina
50,Peronist Armed Forces (FAP),Argentina
51,Peronist Armed Forces (FAP),Argentina
52,Peronist Armed Forces (FAP),Argentina
53,Tupamaros (Uruguay),Uruguay
54,Tupamaros (Uruguay),Uruguay
55,Tupamaros (Uruguay),Uruguay
56,Tupamaros (Uruguay),Uruguay
57,Tupamaros (Uruguay),Uruguay
58,Popular Revolutionary Vanguard (VPR),Brazil
59,Tupamaros (Uruguay),Uruguay
60,Tupamaros (Uruguay),Uruguay
61,Tupamaros (Uruguay),Uruguay
62,Tupamaros (Uruguay),Uruguay
63,Tupamaros (Uruguay),Uruguay
64,Revolutionary Armed Forces- Argentina (FAR-A),Argentina
65,Tupamaros (Uruguay),Uruguay
66,Tupamaros (Uruguay),Uruguay
67,Peronist Armed Forces (FAP),Argentina
68,Tupamaros (Uruguay),Uruguay
69,Tupamaros (Uruguay),Uruguay
70,Tupamaros (Uruguay),Uruguay
71,Revolutionary Armed Forces- Argentina (FAR-A),Argentina
72,Tupamaros (Uruguay),Uruguay
73,Movement of the Revolutionary Left (MIR) (Venezuela),Venezuela
74,Armed Forces of National Liberation- Venezuela (FALN),Venezuela
75,Armed Forces of National Liberation- Venezuela (FALN),Venezuela
76,Tupamaros (Uruguay),Uruguay
77,Tupamaros (Uruguay),Uruguay
78,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
79,Peronist Armed Forces (FAP),Argentina
80,Revolutionary Armed Forces- Argentina (FAR-A),Argentina
81,Ejercito de Liberacion Nacional (Bolivia),Bolivia
82,Unknown,Venezuela
83,Unknown,Bolivia
84,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
85,Peronist Armed Forces (FAP),Argentina
86,Unknown,Brazil
87,Unknown,Brazil
88,Unknown,Brazil
89,Montoneros (Argentina),Argentina
90,Unknown,Brazil
91,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
92,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
93,Comite Argentino de Lucha Anti-Imperialisto,Argentina
94,Comite Argentino de Lucha Anti-Imperialisto,Argentina
95,Comite Argentino de Lucha Anti-Imperialisto,Argentina
96,Comite Argentino de Lucha Anti-Imperialisto,Argentina
97,Unknown,Argentina
98,Red Flag (Venezuela),Venezuela
99,Montoneros (Argentina),Argentina
100,Unknown,Colombia
101,OPR-33,Uruguay
102,Unknown,Argentina
103,Montoneros (Argentina),Argentina
104,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
105,National Liberation Army of Colombia (ELN),Colombia
106,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
107,Montoneros (Argentina),Argentina
108,Unknown,Argentina
109,National Liberation Army of Colombia (ELN),Colombia
110,Popular Liberation Army (EPL),Colombia
111,National Liberation Army of Colombia (ELN),Colombia
112,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
113,Revolutionary Armed Forces- Argentina (FAR-A),Argentina
114,Unknown,Argentina
115,Unknown,Argentina
116,Unknown,Argentina
117,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
118,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
119,Unknown,Argentina
120,Montoneros (Argentina),Argentina
121,Unknown,Argentina
122,Argentine Liberation Front (FAL),Argentina
