,0
0,Tupamaros (Uruguay)
1,Armed Forces of National Liberation- Venezuela (FALN)
2,Popular Revolutionary Vanguard (VPR)
3,Argentine Liberation Front (FAL)
4,Argentine National Organization Movement (MANO)
5,Palestinians
6,Montoneros (Argentina)
7,Unknown
8,Ejercito de Liberacion Nacional (Bolivia)
9,Revolutionary Armed Forces- Argentina (FAR-A)
10,Peronist Armed Forces (FAP)
11,Ejercito Revolucionaria del Pueblo (ERP) (Argentina)
12,Movement of the Revolutionary Left (MIR) (Venezuela)
13,Comite Argentino de Lucha Anti-Imperialisto
14,Red Flag (Venezuela)
15,OPR-33
16,National Liberation Army of Colombia (ELN)
17,Popular Liberation Army (EPL)
18,Zero Point
19,Condor
20,Argentine Anticommunist Alliance (AAA)
21,Revolutionary Vanguard
22,Revolutionary Armed Forces of Colombia (FARC)
23,Movement of the Revolutionary Left (MIR) (Peru)
24,Cuban Action
25,Military Liberation Front of Colombia
26,M-19 (Movement of April 19)
27,Revolutionary Command
28,Croatian Nationalists
29,Political Military Organization of Paraguay
30,Revolutionary Workers Party of Bolivia (PRTB)
31,Movement of the Revolutionary Left (MIR) (Chile)
32,Brazilian Anti-Communist Alliance (AAB)
33,Coordination of the United Revolutionary Organization (CORU)
34,Revolutionary Workers Party
35,Falange
36,Pedro Leon Arboleda (PLA)
37,Popular Revolutionary Movement (Colombia)
38,Argentine Youths for Sovereignty
39,Red Army Faction (RAF)
40,Marxist Resistance Movement
41,Red Tribune
42,Abstentionist Brigades
43,Unified Workers Command
44,supporters of presidential candidate Belisario Bet
45,Students
46,Death Squad
47,Brigadas Rojas
48,Shining Path (SL)
49,Peruvian Anti-Communist Alliance (AAP)
50,Broad Commando of National Liberation
51,Red Guard
52,Che Guevara Brigade
53,People's Temple
54,ATALA
55,Workers' Self-Defense Movement (MAO)
56,American Anticommunist Association (AAA)
57,Politico-Military Revolutionary Command
58,Armed Forces of National Resistance (FARN)
59,Policarpa Salauarpieta (Women's Command)
60,Colombians
61,Unk (men in army uniforms with arms and gas masks)
62,Extremists
63,Personnel of the National Information Center
64,Colombian Guerrillas
65,Revolutionary Organization of People in Arms (ORPA)
66,Pro-Palestinian Group
67,Patriotic Liberation Front (FPL)
68,Movement of the Revolutionary Left (MIR) (Bolivia)
69,Left-Wing Guerrillas
70,Communist Hunters Command (CCC)
71,Strikers
72,Liga Agraria Campesina
73,Commandos
74,Working People's Alliance (WPA)
75,Bolivian Socialist Falange
76,Workers of the Company
77,Guerrillas
78,Left-Wing Terrorists
79,Patria Nueva (New Country)
80,Right-wing extremists
81,International Movement of the Prolitariat
82,Spanish Basque Battalion (BBE) (rightist)
83,Political Activists
84,Popular Militia (Chile)
85,Commando Delta
86,Extreme Right-wing Socialist Phalange
87,Extreme Left
88,Gunmen
89,MNR of the Left
90,Death to Kidnappers (MAS)
91,Civic Guard
92,Grupo Armado de Liberacion Argentina (GALA)
93,People's Revolutionary Organization- Colombia (ORP)
94,2 April Group
95,Ruminahui Front
96,Caribbean Revolutionary Alliance (ARC)
97,Sunni Muslim extremists
98,Artigas-Giachino Command
99,Alfaro Vive
100,Argentina Libre (Free Argentina)
101,United Popular Action Movement
102,Amazonas Liberation Front
103,Subversives
104,Bolivian Luminous Path
105,Youths
106,Black Liberation Force
107,November 10 (Bolivia)
108,Marxists
109,Left-wing extremists
110,Guerrilla Army of the Poor (EGP)
111,Ana Maria Martinly August 22 Brigade
112,Patriotic Command San Jose
113,Defenders of the Fatherland
114,Right-Wing Group
115,Manuel Rodriguez Patriotic Front (FPMR)
116,Right-wing Terrorists
117,Individuals claimed to be policemen
118,Nationalist Patriotic Alliance (APN)
119,Anti-Semitic extremists
120,Ricardo Franco Front (Dissident FARC)
121,Tupac Amaru Revolutionary Movement (MRTA)
122,Chilean Anti-Communist Alliance (ACHA)
123,Free Fatherland
124,Alfa 83
125,Armed People
126,Narco-Terrorists
127,Anti-Socials
128,Militant Argentine Patriots
129,Revolutionary Armed Forces for the Liberation of Colombia (FALCO)
130,La Paz peasants federation
131,Emilio Recabarren Commando
132,Miners
133,Los Barriales
134,Quintin Lame
135,Maoists
136,Right-Wing Gunmen
137,Javier Heraud Revolutionary Commando
138,People's Revolutionary Command (CRP)
139,Broad Front
140,Democratic Revolutionary Alliance (ARDE)
141,"former ""comrades-in-arms"""
142,Simon Bolivar Guerrilla Coordinating Board (CGSB)
143,America Battalion
144,Black Flag (Bandera Negra)
145,People's Command
146,Patria y Libertad (Fatherland and Liberty)
147,Terrorists
148,Montoneros Patria Libre
149,Brunswijk Jungle Commando
150,Drug-Related Terrorists
151,September 11 Commandos
152,Brazilian Democratic Mobilization Party (PMBD)
153,Peruvian Rebels
154,Rebels
155,Condor Plan Criminals
156,Active Espirit de Corps of the Argentina Army
157,Brother Julian
158,Nicaraguan Democratic Force (FDN)
159,Alejo Calatayu
160,Right-Wing Death Squad
161,Comuneros
162,Latin American Anti-Fascist Command
163,Insurgency Commune
164,Ecuadorian Communist Youth
165,Death to Drug Traffickers
166,The Extraditables
167,OAS-MRP
168,National Socialist Civic Workers Movement
169,Jorge Eliecer Gaitan Nationalist Movement
170,Black Hand (Colombia)
171,Rodrigo Franco Command
172,East Timorese extremists
173,Zarate Willka Armed Forces of Liberation
174,Workers' Revolutionary Party
175,Death to Bazuqueros
176,Popular Resistance Front (FPR)
177,National Liberation Army (Peru)
178,Workers' Forces of Liberation
179,Revolutionary Movement of People in Arms
180,Rebel Socialists
181,Muslim Militants
182,National Liberation Army (Ecuador)
183,Unidad Militar Bolivariana
184,Surinamese Amerindians
185,All for the Fatherland Movement
186,Cali Narcotics Cartel
187,Arnoldo Camu Command
188,National Liberation Union
189,Tucayana Amerindians
190,Tacayana Indians
191,White Mercenaries
192,Popular Militia (Colombia)
193,Struggle Against Misery and Exploitation of Peasants
194,Omar Torrijos Commando for Latin American Dignity
195,Manuel Gonzales Patriotic Front
196,Patriotic Liberation Front
197,14th of December Command
198,Milicias Rodriguistas
199,Cleansing Hand (La Mano Que Limpia)
200,Colombian Revolution
201,Nestor Paz Zamora Commission (CNPZ)
202,Eva Peron Organization
203,Palestinian support group
204,Islamic Revolutionary Command
205,Former Border Policeman
206,Venceremos
207,Landless Peasants' Movement (MST)
208,Allende Lives Commando
209,Venezuela Cartel
210,Autonomous Manuel Rodriguez Patriotic Front
211,Tupac Katari Guerrilla Army (EGTK)
212,Popular Revolutionary Commandos
213,Medellin Drug Cartel
214,Liberation Youth Coordinating Board
215,Guerrilla Movement of the Poor (MGP)
216,People's Guerrilla Movement
217,Armed Gold Miners
218,Free Fatherland Youth Guerrilla Army
219,Command for National Sovereignty
220,Student Demonstrators
221,Striking Minors Group
222,Workers/Employees
223,Libardo Moratoro Front
224,suspended policemen
225,Popular Democratic Movement (MPD)
226,Comando Vermelho (Red Command)
227,People's Guerrilla Front
228,Anti-Government Group
229,Hezbollah
230,People's Revolutionary Organization
231,People's Fatherland Movement
232,Anti-govt student groups
233,Central University students
234,Artigas Guard Commando
235,Red Dawn Front (Frente Amanecer Rojo)
236,Juan Antonio Lavalleja Command
237,Kolla Benjo Cruz Command
238,Pirates
239,Manuel Ascencio Padilla Group
240,Chilean Committee of Support for the Peruvian Revolution
241,Heroes of Canto Grande
242,Anti-Government Demonstrators
243,Comando Independiente Revolucionario
244,Neo-Nazi extremists
245,Revolutionary Bolivariano Movement 200
246,Fuerzas Populares Jose Leonardo Chirinos
247,Grupo Libertad
248,Guajajara Tribe
249,Bolivarian Army of Liberation
250,February 27 Revolutionary Armed Forces
251,Socialist Recovery Movement
252,Rebel Military Unit
253,Coca Farmers
254,Suriname Liberation Front
255,Popular Liberation Front Urban Commando
256,Puka Inti Maoist Communist Party
257,Death to the Demobilized Militias
258,Colombia Without Guerrillas
259,Albatros Commando
260,National Liberation People's Front (FPLN)
261,Depositers angered
262,Cleansing Squad
263,Dignity Command
264,Jaime Bateman Cayon Group (JBC)
265,Rival Soccer Clubs
266,Farmers
267,Krikapi Indians
268,Paramilitaries
269,Macetos (Paramilitary Group)
270,Pareci Indians
271,Right-Wing Paramilitaries
272,Left-Wing Demonstrators
273,Union members
274,M-19 Splinter
275,Chinese Mafia
276,Party for Democracy anti-nuclear-test protesters
277,Commandos for A Popular alternative
278,Peasant Squatters
279,Anti-Nuclear extremists
280,Leftist youths
281,Disgruntled Petroecuador workers
282,leftist guerrillas-Bolivarian militia
283,Dignity for Colombia
284,Social Christian Party (PSC)
285,Protesters
286,Kaingang Indians
287,Self Defense Forces
288,Comando Bautista B
289,Peasant protesters
290,Peasant Self-Defense Group (ACCU)
291,Extortionists
292,National Renewal Party
293,Guaycaipuro Indians
294,Ticuna Indian
295,Civil Servants and Unionists
296,Ashuar Tribe
297,Death to Rustlers
298,Pataxo Indians
299,Separatists
300,Bandits
301,Korubo Tribe
302,Che Guevara Guerrillas
303,Grupo de Combatientes Populares
304,Commander Luciano Varela Antiguerrilla Group
305,Supporters of ret. Gen. Lino Oviedo
306,Youth Gang
307,People's Revolutionary Army (ERP)
308,Anti-Imperialist Commando
309,United Self Defense Units of Colombia (AUC)
310,Human Rights Renewal Movement (Renovacion por los Derechos Humanos)
311,Tupamaro Revolutionary Movement
312,Fatherland and Liberty Nationalist Front (FNPL - Frente Nacionalista Patria y Libertad FNPL)
313,Colombian Patriotic Resistance
314,Terena Indians
315,Supporters of General Lino Oviedo
316,Ejercito Revolucionario Guevarista (Guevarist Revolutionary Army)
317,Skinheads
318,"Civil Association for Peace in Colombia, Asocipaz"
319,Rodolfo Walsh National Command
320,People's Revolutionary Militias (MRP)
321,White Legion (Ecuador)
322,Comando Malvinas Argentinas
323,The Inevitables
