,0
0,Uruguay
1,Venezuela
2,Japan
3,Paraguay
4,Soviet Union
5,United States
6,Argentina
7,Israel
8,Germany
9,Switzerland
10,Brazil
11,Colombia
12,Italy
13,Sweden
14,International
15,Great Britain
16,
17,France
18,Peru
19,Czechoslovakia
20,Chile
21,Cuba
22,Denmark
23,Austria
24,Bolivia
25,Netherlands
26,Ecuador
27,Mexico
28,Spain
29,Lebanon
30,Multinational
31,Trinidad and Tobago
32,Egypt
33,West Germany (FRG)
34,Nicaragua
35,Guyana
36,Dominican Republic
37,Yugoslavia
38,China
39,Honduras
40,El Salvador
41,Comoros
42,Suriname
43,Lithuania
44,Vatican City
45,Syria
46,South Africa
47,Guatemala
48,Hungary
49,Russia
50,Belgium
51,Canada
52,North Korea
53,Panama
54,Norway
55,Australia
56,Poland
57,Iraq
58,Costa Rica
59,India
60,South Korea
61,Iran
62,Nigeria
63,French Guiana
64,Slovak Republic
65,Pakistan
66,Armenia
80,Falkland Islands
