,source,target,source_id,target_id
0,Assassination,Police,0,9
1,Armed Assault,Educational Institution,1,10
2,Hostage Taking (Kidnapping),Business,2,11
3,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
4,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
5,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
6,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
7,Armed Assault,Military,1,13
8,Assassination,Government (Diplomatic),0,12
9,Assassination,Military,0,13
10,Hostage Taking (Kidnapping),Government (General),2,14
11,Armed Assault,Military,1,13
12,Assassination,Government (General),0,14
13,Hostage Taking (Kidnapping),Business,2,11
14,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
15,Unknown,Government (Diplomatic),3,12
16,Unknown,Government (Diplomatic),27,12
17,Hijacking,Airports & Aircraft,4,15
18,Hostage Taking (Kidnapping),Government (General),2,14
19,Hostage Taking (Kidnapping),Business,2,11
20,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
21,Hostage Taking (Kidnapping),Government (General),2,14
22,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
23,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
24,Hostage Taking (Kidnapping),Government (General),2,14
25,Armed Assault,Private Citizens & Property,1,16
26,Assassination,Police,0,9
27,Armed Assault,Business,1,11
28,Hostage Taking (Kidnapping),Government (General),2,14
29,Hostage Taking (Barricade Incident),Telecommunication,5,17
30,Facility/Infrastructure Attack,Business,6,11
31,Assassination,Government (General),0,14
32,Bombing/Explosion,Government (Diplomatic),7,12
33,Bombing/Explosion,Business,7,11
34,Hostage Taking (Kidnapping),Journalists & Media,2,18
35,Facility/Infrastructure Attack,Business,6,11
36,Facility/Infrastructure Attack,Business,6,11
37,Armed Assault,Police,1,9
38,Facility/Infrastructure Attack,Business,6,11
39,Hostage Taking (Kidnapping),Police,2,9
40,Facility/Infrastructure Attack,Business,6,11
41,Facility/Infrastructure Attack,Journalists & Media,6,18
42,Facility/Infrastructure Attack,Business,6,11
43,Facility/Infrastructure Attack,Airports & Aircraft,6,15
44,Facility/Infrastructure Attack,Business,6,11
45,Facility/Infrastructure Attack,Government (General),6,14
46,Bombing/Explosion,Government (Diplomatic),7,12
47,Assassination,Private Citizens & Property,0,16
48,Armed Assault,Private Citizens & Property,1,16
49,Armed Assault,Private Citizens & Property,1,16
50,Assassination,Police,0,9
51,Bombing/Explosion,Government (General),7,14
52,Bombing/Explosion,Government (General),7,14
53,Armed Assault,Military,1,13
54,Armed Assault,Business,1,11
55,Facility/Infrastructure Attack,Business,6,11
56,Armed Assault,Business,1,11
57,Bombing/Explosion,Business,7,11
58,Bombing/Explosion,Business,7,11
59,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
60,Bombing/Explosion,Business,7,11
61,Bombing/Explosion,Business,7,11
62,Bombing/Explosion,Educational Institution,7,10
63,Assassination,Journalists & Media,0,18
64,Bombing/Explosion,Business,7,11
65,Armed Assault,Business,1,11
66,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
67,Assassination,Police,0,9
68,Armed Assault,Business,1,11
69,Armed Assault,Educational Institution,1,10
70,Armed Assault,Journalists & Media,1,18
71,Armed Assault,Educational Institution,1,10
72,Bombing/Explosion,Business,7,11
73,Hostage Taking (Kidnapping),Business,2,11
74,Hostage Taking (Kidnapping),Business,2,11
75,Hostage Taking (Kidnapping),Business,2,11
76,Hostage Taking (Kidnapping),Business,2,11
77,Hostage Taking (Kidnapping),Government (General),2,14
78,Armed Assault,Journalists & Media,1,18
79,Bombing/Explosion,Journalists & Media,7,18
80,Armed Assault,Police,1,9
81,Armed Assault,Military,1,13
82,Hostage Taking (Kidnapping),Business,2,11
83,Bombing/Explosion,Military,7,13
84,Hostage Taking (Kidnapping),Business,2,11
85,Hostage Taking (Kidnapping),Business,2,11
86,Assassination,Military,0,13
87,Facility/Infrastructure Attack,Business,6,11
88,Facility/Infrastructure Attack,Business,6,11
89,Armed Assault,Government (Diplomatic),1,12
90,Armed Assault,Private Citizens & Property,1,16
91,Armed Assault,Military,1,13
92,Hostage Taking (Kidnapping),Business,2,11
93,Assassination,Military,0,13
94,Bombing/Explosion,Business,7,11
95,Bombing/Explosion,Business,7,11
96,Bombing/Explosion,Business,7,11
97,Bombing/Explosion,Business,7,11
98,Armed Assault,Military,1,13
99,Hostage Taking (Kidnapping),Business,2,11
100,Bombing/Explosion,Business,7,11
101,Assassination,Government (Diplomatic),0,12
102,Hostage Taking (Kidnapping),Journalists & Media,2,18
103,Bombing/Explosion,Business,7,11
104,Bombing/Explosion,Business,7,11
105,Bombing/Explosion,Business,7,11
106,Hostage Taking (Kidnapping),Educational Institution,2,10
107,Assassination,Military,0,13
108,Assassination,Private Citizens & Property,0,16
109,Hostage Taking (Kidnapping),Business,2,11
110,Hostage Taking (Kidnapping),Business,2,11
111,Hostage Taking (Kidnapping),Business,2,11
112,Hostage Taking (Kidnapping),Business,2,11
113,Bombing/Explosion,Government (General),7,14
114,Assassination,Private Citizens & Property,0,16
115,Assassination,Military,0,13
116,Armed Assault,Government (Diplomatic),1,12
117,Assassination,Private Citizens & Property,0,16
118,Armed Assault,Military,1,13
119,Armed Assault,Utilities,1,19
120,Hostage Taking (Kidnapping),Business,2,11
121,Bombing/Explosion,Educational Institution,7,10
122,Bombing/Explosion,Military,7,13
123,Hostage Taking (Kidnapping),Business,2,11
124,Hostage Taking (Kidnapping),Military,2,13
125,Hostage Taking (Kidnapping),Military,2,13
126,Assassination,Military,0,13
127,Hostage Taking (Kidnapping),Military,2,13
128,Hostage Taking (Kidnapping),Business,2,11
129,Facility/Infrastructure Attack,Military,6,13
130,Facility/Infrastructure Attack,Police,6,9
131,Armed Assault,Other,1,20
132,Hostage Taking (Kidnapping),Police,2,9
133,Assassination,Military,0,13
134,Bombing/Explosion,Business,7,11
135,Bombing/Explosion,Business,7,11
136,Facility/Infrastructure Attack,Government (Diplomatic),6,12
137,Hijacking,Airports & Aircraft,4,15
138,Hostage Taking (Kidnapping),Business,2,11
139,Hostage Taking (Kidnapping),Business,2,11
140,Hostage Taking (Kidnapping),Business,2,11
141,Assassination,Private Citizens & Property,0,16
142,Hostage Taking (Kidnapping),Business,2,11
143,Bombing/Explosion,Business,7,11
144,Hijacking,Airports & Aircraft,4,15
145,Armed Assault,Educational Institution,1,10
146,Bombing/Explosion,Government (Diplomatic),7,12
147,Hijacking,Airports & Aircraft,4,15
148,Armed Assault,Government (Diplomatic),1,12
149,Armed Assault,Government (Diplomatic),1,12
150,Bombing/Explosion,Government (Diplomatic),7,12
151,Bombing/Explosion,Government (Diplomatic),7,12
152,Assassination,Private Citizens & Property,0,16
153,Bombing/Explosion,Government (Diplomatic),7,12
154,Bombing/Explosion,Private Citizens & Property,7,16
